GEOID,2020_eviction,2021_eviction,2022_eviction,2023_eviction,own_occ_rate,pop,hh,r_hh,eviction_rate,rank_eviction_rate,corp_own_rate,rank_corp_own_rate,non_white_rate,rank_non_white_rate,o_mhi,mhi,rank_mhi,r_mhi,rank_r_mhi,white_rate,black_rate,hispanic_rate,asian_rate,othr_race_rate
25025090400,18.0,16.0,18.0,38.0,0.3561797752808989,3659,1148,739,5.141349094867164,43.0,0.147191011235955,111.0,97.56764143208527,15.0,89605.0,35093.0,41.0,29630.0,55.0,2.432358567914731,51.92675594424706,32.932495217272475,0.8745558895873189,11.833834380978411
25025090600,9.0,9.0,14.0,13.0,0.3233532934131736,2348,720,487,2.668387413962635,73.0,0.1586826347305389,98.0,96.03918228279386,20.0,54087.0,50167.0,80.0,36442.0,85.0,3.960817717206133,39.01192504258944,20.954003407155025,1.5332197614991483,34.540034071550245
25025090700,10.0,39.0,33.0,58.0,0.399859943977591,4275,1832,1099,5.275333370700065,39.0,0.2086834733893557,53.0,39.251461988304094,101.0,67417.0,38789.0,54.0,33902.0,78.0,60.748538011695906,8.654970760233919,8.865497076023392,17.473684210526315,4.257309941520468
25025090901,40.0,29.0,45.0,45.0,0.0,3730,1540,1540,2.922077922077922,66.0,0.3666666666666666,3.0,62.466487935656836,62.0,0.0,25523.0,22.0,25523.0,38.0,37.533512064343164,17.66756032171582,20.589812332439678,19.892761394101875,4.316353887399465
25025091001,6.0,10.0,18.0,22.0,0.432512315270936,2742,1236,701,3.1365178892484726,62.0,0.1743842364532019,82.0,41.68490153172866,95.0,101375.0,63938.0,115.0,31008.0,63.0,58.31509846827133,10.86797957695113,7.731582786287381,18.85485047410649,4.230488694383666
25025091100,9.0,14.0,11.0,14.0,0.49768875192604,4861,1792,900,1.5553105828220857,94.0,0.1540832049306625,103.0,53.50750874305699,75.0,105625.0,63944.0,116.0,42419.0,98.0,46.49249125694301,12.28142357539601,9.586504834396214,24.994857025303435,6.644723307961325
25025091200,9.0,9.0,13.0,20.0,0.5098814229249012,3234,1160,568,3.5177975528364858,56.0,0.1646903820816864,90.0,69.6660482374768,54.0,69545.0,66463.0,121.0,65625.0,140.0,30.333951762523192,23.562152133580703,21.55225726654298,6.0606060606060606,18.49103277674707
25025091300,16.0,14.0,11.0,30.0,0.4045174537987679,2499,790,470,6.377127891750327,27.0,0.1806981519507187,69.0,93.39735894357743,27.0,31429.0,30691.0,34.0,30175.0,57.0,6.602641056422569,34.77390956382553,21.288515406162464,3.241296518607443,34.093637454982
25025091400,19.0,16.0,12.0,42.0,0.4288288288288288,2741,879,502,8.365543006642907,12.0,0.1765765765765765,79.0,92.84932506384531,28.0,52333.0,27708.0,28.0,18681.0,24.0,7.150674936154688,46.22400583728567,29.25939438161255,0.9485589201021525,16.417365924844944
25025091500,25.0,16.0,16.0,30.0,0.5,4370,1470,735,4.081632653061225,50.0,0.1217672413793103,126.0,90.68649885583524,33.0,72031.0,41810.0,58.0,31571.0,68.0,9.31350114416476,39.702517162471395,20.983981693363845,4.622425629290618,25.377574370709382
25025091600,19.0,15.0,22.0,17.0,0.3898550724637681,3138,1043,636,2.6713550123775063,72.0,0.2057971014492753,56.0,87.7310388782664,36.0,90500.0,38116.0,53.0,26415.0,43.0,12.26896112173359,32.34544295729764,15.487571701720842,25.653282345442957,14.244741873804973
25025091700,9.0,15.0,25.0,22.0,0.4759259259259259,3069,917,480,4.577840631032981,46.0,0.1148148148148148,133.0,93.4832192896709,26.0,76250.0,46807.0,70.0,43138.0,99.0,6.5167807103290984,46.9208211143695,20.593027044639946,4.138155751058977,21.831215379602472
25025091800,18.0,18.0,24.0,21.0,0.4560906515580736,3452,1042,566,3.7053142994241837,53.0,0.1430594900849858,113.0,96.17612977983777,19.0,85845.0,55473.0,99.0,29128.0,52.0,3.8238702201622248,52.08574739281576,20.654692931633836,1.7091541135573582,21.726535341830825
25025091900,20.0,20.0,52.0,61.0,0.4322916666666667,3860,1244,706,8.637422932829878,11.0,0.1158854166666666,131.0,97.56476683937824,16.0,61912.0,35144.0,43.0,28900.0,51.0,2.4352331606217614,69.92227979274611,21.34715025906736,0.31088082901554404,5.984455958549224
25025092000,21.0,23.0,44.0,47.0,0.5057339449541285,4945,1532,757,6.206950864163129,30.0,0.1192660550458715,128.0,94.78260869565217,23.0,67440.0,44796.0,64.0,32934.0,75.0,5.217391304347826,54.11526794742164,21.253791708796765,9.443882709807887,9.969666329625877
25025092101,22.0,19.0,47.0,48.0,0.4765177548682703,6451,2252,1178,4.071654274731724,51.0,0.1672394043528064,89.0,70.45419314834909,53.0,82168.0,48700.0,77.0,31211.0,64.0,29.54580685165091,21.903580840179817,10.680514648891645,31.405983568438998,6.464114090838635
25025092200,14.0,8.0,16.0,24.0,0.6047381546134664,3349,1134,448,5.354430591023651,36.0,0.1172069825436409,130.0,77.90385189608838,44.0,112188.0,45848.0,67.0,31655.0,70.0,22.096148103911613,42.311137653030755,12.600776351149598,16.183935503135263,6.808002388772767
25025092300,15.0,18.0,29.0,32.0,0.4764991896272285,2893,956,500,6.394030856121351,26.0,0.1539708265802269,105.0,98.37538886968544,8.0,60833.0,36765.0,48.0,32804.0,74.0,1.6246111303145523,76.80608365019012,15.831316972001384,0.7258900795022468,5.012098167991703
25025092400,47.0,32.0,70.0,100.0,0.3962732919254658,5277,1873,1130,8.843452220091004,8.0,0.2198757763975155,45.0,98.93879097972332,3.0,54250.0,26207.0,23.0,21920.0,34.0,1.0612090202766722,65.75705893500094,27.856736782262647,0.8148569262838735,4.51013833617586
25025100100,19.0,22.0,38.0,70.0,0.4483159117305458,5510,1895,1045,6.695736703235661,23.0,0.1579558652729384,99.0,98.9655172413793,2.0,77143.0,22375.0,20.0,17571.0,20.0,1.0344827586206897,64.2831215970962,29.092558983666063,0.8711433756805809,4.718693284936475
25025100200,15.0,16.0,29.0,33.0,0.4448,2787,905,502,6.567739264731638,24.0,0.1472,110.0,98.67240760674561,6.0,71591.0,41898.0,59.0,34976.0,81.0,1.3275923932543954,78.39971295299605,14.818801578758523,0.9687836383207751,4.485109436670256
